index,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,word,participant number
Native1_i1,-163.33047,135.55688,-22.60822,8.709469,8.252865,-2.7335942,-37.28519,37.427994,0.25176153,14.657024,-12.935216,-4.8132133,5.2640896,1,1
Native2_i2,-162.16653,134.7286,-14.757291,5.2663674,8.581559,0.2862785,-38.360657,38.814194,-1.0844179,8.460651,-13.965059,-5.086792,-0.34262973,1,1
Native3_i3,-158.60036,123.85979,-22.383276,-2.8274996,7.2955127,-2.3103867,-31.43747,34.064095,-1.2428128,5.182175,-4.897393,-10.254661,-0.16525176,1,1
Native1_you1,-243.17056,146.47003,31.891272,33.328625,15.391224,-5.1338263,-3.4280136,5.6905684,4.1651225,-3.0462348,-14.64753,4.2007904,-4.537467,2,1
Native1_you2,-218.8282,136.74323,28.942879,37.146217,18.962435,-9.217225,-9.84154,2.5469897,2.8688638,-3.2016253,-13.089464,5.4322143,-9.46556,2,1
Native1_you3,-244.47798,133.05884,42.486763,30.631872,13.68627,-7.5489807,1.1681684,3.3308053,2.085771,-9.249182,-15.28434,7.1736693,-12.4545555,2,1
Native1_he1,-189.01096,90.4916,30.40144,68.45651,-6.765447,-10.271532,3.9913244,11.821849,-12.200539,5.792892,-7.9541054,-4.5201054,3.7895513,3,1
Native1_he2,-189.21977,93.81313,29.987278,64.50464,-9.125845,-9.833087,5.1489954,13.432282,-11.903317,3.703663,-13.608568,-4.2962465,4.14934,3,1
Native1_he3,-197.521,89.72742,38.29747,62.67399,-14.310142,-3.663705,9.439522,10.029105,-11.430118,2.1519587,-5.7387147,-4.942732,-0.41914096,3,1
Native1_she1,-154.69543,76.38078,19.813635,72.12628,1.2741613,-19.390476,4.863859,18.30485,-9.491902,-0.42247134,-12.933508,0.7139205,1.6301196,4,1
Native1_she2,-163.94836,69.01074,21.788023,70.05399,0.92433214,-12.151851,1.9306561,15.8364,-9.699168,-1.6734667,-10.60979,-3.7648869,1.9201446,4,1
Native1_she3,-178.9767,81.72238,13.661358,73.69604,4.1641498,-19.167936,-0.41138232,18.598719,-9.035901,-0.6843267,-13.237762,-5.8936825,5.777278,4,1
Native1_it1,-164.3102,97.8264,7.1441665,55.086933,4.834397,-30.30952,-17.954967,9.967463,-8.117601,-0.19670011,-19.0934,6.412938,3.8411832,5,1
Native1_it2,-198.60503,112.341125,14.561683,39.146954,6.857511,-21.435898,-16.662989,13.248174,-10.427766,-4.6041245,-11.485208,4.349842,3.0651233,5,1
Native1_it3,-188.56927,107.75203,12.085374,55.93981,-1.2558577,-25.024918,-23.024414,12.918454,-9.424891,-4.445346,-17.638239,4.4484324,5.459272,5,1
Native1_we1,-215.18155,115.608536,39.824768,53.11385,2.2655494,-19.607147,5.909961,15.153803,-11.093206,-3.8545516,-8.298728,-1.2408882,-8.11228,6,1
Native1_we2,-229.05003,119.13817,39.173393,52.182873,6.8203917,-24.115389,5.10315,13.80563,-10.331915,-2.321002,-9.464505,-4.460344,-6.9900174,6,1
Native1_we3,-204.2704,114.89464,33.65395,58.17401,1.7242682,-13.821756,6.8380313,12.574588,-10.905838,-2.3011472,-4.365295,-6.8396735,-10.425993,6,1
Native1_they1,-214.29567,139.90985,15.589299,42.83252,15.121173,-21.697401,-27.01097,18.23948,-4.9680166,4.0547466,-12.38413,3.1774027,6.1849446,7,1
Native1_they2,-205.90327,135.00424,11.597858,48.98405,9.929867,-30.42575,-28.661028,18.208443,-7.7115903,7.971531,-15.566836,4.4579573,3.071645,7,1
Native1_they3,-192.62703,142.8364,12.174161,44.5972,10.153714,-22.655188,-23.321365,18.06089,-5.5703444,6.69398,-12.396204,-1.9452043,6.238466,7,1
Native2_I1,-124.92585,164.45206,-37.157322,25.386023,17.440004,-12.782969,-2.7511475,-12.193394,16.17177,3.3938847,-5.312624,7.071159,-13.561834,1,2
Native2_I2,-147.94226,168.8259,-27.61913,15.36335,24.036058,-8.772311,-11.335329,4.002143,5.779881,-0.13196823,-5.094537,3.9548361,-12.118195,1,2
Native2_you1,-152.36536,140.65923,37.572567,12.381832,22.361465,-15.328072,5.634961,-16.530148,1.9880036,-7.7010374,-2.975551,2.834956,-11.080459,2,2
Native2_you2,-179.35315,151.1036,35.039158,18.211937,20.407015,-13.692537,0.7712219,-0.9443214,-1.5318055,-2.5685961,-5.5941133,0.4614067,-9.843182,2,2
Native2_he1,-195.85493,122.45843,41.483242,42.793304,16.55456,-34.01709,14.048128,11.134739,-15.286619,-8.487685,-2.4151607,6.069728,-13.83154,3,2
Native2_he2,-167.57191,114.91811,45.81968,34.182922,20.26524,-36.350655,12.113776,7.399546,-14.020447,-10.796976,-2.2040663,15.797849,-22.844687,3,2
Native2_she1,-140.09386,98.539505,35.564697,56.59425,-2.0138721,-15.511837,4.9179244,2.536451,-3.4526687,-10.520985,-7.075873,11.578738,-16.431196,4,2
Native2_she2,-168.3791,100.95662,31.803955,48.055176,-6.8420033,-5.536567,9.448641,8.9122,-1.2397296,-8.416446,-3.9263418,8.251079,-11.64952,4,2
Native2_it1,-181.76791,123.175606,18.189953,26.509245,6.4006343,-9.250443,-15.095035,-4.357603,7.1822705,-11.913248,-1.5383365,8.381026,-1.8998952,5,2
Native2_it2,-219.64957,114.11222,38.202293,27.012981,13.300051,-11.919635,-15.13209,7.499913,2.6580276,-12.007142,-5.434289,6.235583,-2.2035682,5,2
Native2_we1,-149.48854,127.317406,47.899525,26.750694,19.108042,-27.537947,8.663046,5.902174,-14.466309,-5.0249615,0.046086136,6.1455507,-16.284609,6,2
Native2_we2,-190.99213,141.79729,44.4184,16.588789,15.284625,-20.854895,4.261251,11.346729,-13.483334,-10.118796,4.1707416,-0.6396929,-11.309827,6,2
Native2_they1,-182.09323,184.71082,-6.8089643,21.920916,26.660465,-33.38599,-33.31088,-10.439755,10.054597,-18.36204,-3.3038862,7.4538913,5.0816574,7,2
Native2_they2,-158.6118,149.57962,15.897971,25.00927,28.190872,-38.461174,-16.371634,-5.0837474,-5.753983,-9.1253195,-5.157209,14.855553,-7.7467904,7,2
Native5_I1,-243.11162,171.55768,-25.292408,13.266568,19.475924,-22.14078,-13.353812,29.418581,-4.321348,9.872619,17.31048,-1.641575,-3.9692812,1,5
Native5_I2,-272.69516,175.65564,-8.194526,13.068925,10.644752,-14.042225,-2.3687198,28.771837,-1.0480261,6.036176,17.809328,-1.5960253,-4.0118675,1,5
Native5_I3,-249.21582,161.45119,-13.221527,12.428334,23.096003,-11.2599125,-9.438432,27.149977,1.1888672,10.90328,18.651968,-3.6401036,-5.5131826,1,5
Native5_you1,-286.85422,165.79137,34.0774,19.60121,23.360758,3.5234113,5.912318,13.522717,0.21862504,3.4916773,-1.1668816,-10.303372,-4.4919233,2,5
Native5_you2,-269.85657,171.18434,33.014584,23.053036,26.56679,2.064594,5.7646637,14.632671,-3.752994,1.7467711,3.1752417,-10.876143,-6.0219035,2,5
Native5_you3,-290.87756,176.08176,30.534864,19.919031,24.199911,3.0687883,10.238992,11.229313,-3.1886046,4.930415,0.6762726,-8.178608,-5.211178,2,5
Native5_he1,-284.89856,137.13904,26.030115,39.30615,29.464634,-4.06255,1.5082934,20.669939,-2.52233,1.0479966,0.3219398,-3.7414768,-3.7862592,3,5
Native5_he2,-308.008,144.84068,36.699306,40.25305,30.041704,-9.175232,8.344163,25.769697,-2.306416,0.29484117,1.7138404,-6.217564,-6.0268717,3,5
Native5_he3,-272.05807,142.7348,9.090273,58.4718,50.18372,-12.829487,-2.4121764,25.96874,-1.472032,1.5286787,1.0102277,-17.727797,-3.0162401,3,5
Native5_she1,-230.63257,118.23869,1.7795078,66.23134,38.646305,-16.087965,-0.6624475,19.739388,0.69862163,1.2141291,1.3434463,-12.139202,-11.494543,4,5
Native5_she2,-257.8191,113.88627,12.627751,53.70721,28.335035,-8.518009,3.0038242,16.226797,-3.395274,2.0944285,-1.0216613,-5.9092937,-8.564333,4,5
Native5_she3,-275.27356,114.3616,20.150124,49.68694,22.58463,-6.94116,6.0913334,19.449814,1.0772469,3.9872699,0.22498593,-4.818632,-5.4072638,4,5
Native5_it1,-237.92719,137.86783,3.9620147,45.666103,30.632626,-11.107288,-21.876408,10.876194,-12.200786,-3.429017,0.983719,-17.678415,-3.5702257,5,5
Native5_it2,-216.69241,111.48233,14.666736,43.254894,23.103777,2.3842306,-17.422983,13.609967,-1.3891981,-1.6698823,6.495518,-12.211141,-4.822501,5,5
Native5_it3,-222.2345,123.14263,15.415544,43.020695,23.04383,-3.2563112,-19.157286,13.328684,-3.8374147,0.46498686,3.4609559,-6.9932427,-8.254947,5,5
Native5_we1,-274.16028,169.778,23.646822,38.021465,32.426647,-12.601711,5.187199,20.244398,-5.259189,-2.0503523,-0.11105564,-8.273217,-2.8893368,6,5
Native5_we2,-248.02954,174.13481,11.88835,49.1815,42.26438,-15.123247,0.9798052,23.746569,-6.975386,-0.4976035,-3.6467488,-10.381437,-4.8044443,6,5
Native5_we3,-275.64725,153.2697,18.408485,47.176945,38.08619,-15.402557,0.2836053,21.629137,-4.1717095,-0.3647246,0.15355672,-11.663723,-7.153015,6,5
Native5_they1,-278.68304,193.1406,4.0213203,29.258333,46.69743,-8.47705,-21.094822,15.443704,-11.605742,-5.0807943,6.598983,-8.049392,-5.6736016,7,5
Native5_they2,-265.826,170.25804,3.9989777,36.377125,45.653423,-9.438778,-19.60548,20.68788,-12.816662,2.3825858,2.3415995,-10.152567,-4.982214,7,5
Native5_they3,-229.27245,174.70152,-1.4394063,34.681534,35.923897,-0.23404126,-13.028113,15.407535,-9.064042,-4.947163,3.502423,-8.078704,-5.297794,7,5
Native6_I1,-195.57947,164.64838,-16.10437,29.28494,-20.302273,-12.890968,-6.6424713,3.8763638,10.657598,-21.784616,20.052217,8.939314,-9.264119,1,6
Native6_I2,-159.08958,163.19801,-18.315605,30.421427,-9.954819,-21.92557,4.1554165,6.276151,5.6687226,-22.90291,26.981976,2.450413,-6.6537843,1,6
Native6_you1,-286.6916,160.50787,38.523113,34.74635,29.963257,1.3401508,-1.9995441,15.133125,-5.336329,-12.444659,-6.312282,-1.9604636,-16.589205,2,6
Native6_you2,-268.93082,157.6344,37.385895,35.72402,24.38395,8.912952,-1.2884314,13.282788,-4.9456644,-12.2053,-3.9437733,-0.12630497,-6.9396296,2,6
Native6_he1,-249.349,113.000206,32.795666,61.39375,21.45804,-9.981093,2.633826,28.762665,3.0306978,-23.56064,-3.1267412,19.337511,-24.680933,3,6
Native6_he2,-203.0119,95.91751,29.686829,80.962036,31.894941,-11.280046,-11.980605,29.508139,-1.1543584,-37.552692,-8.031587,19.105886,-31.212423,3,6
Native6_she1,-207.41989,92.2369,12.16682,72.99866,17.882164,-15.878294,-0.51708627,26.998688,-5.2710576,-14.026472,0.08657252,8.453688,-14.94334,4,6
Native6_she2,-234.47908,92.42026,9.827612,74.425095,21.625385,-13.986633,-4.726416,27.000273,-3.2273808,-15.824688,-1.4827077,10.555803,-18.896833,4,6
Native6_it1,-215.07841,101.53542,5.509458,65.31554,9.224632,1.6229111,-11.460893,-3.4558377,8.456335,-12.378488,-3.5244598,10.076574,-15.558789,5,6
Native6_it2,-211.08572,101.36627,-5.4299445,64.63808,10.132801,-8.76264,-9.344463,-16.363762,13.467592,-18.399635,-2.0178657,7.868534,-18.295826,5,6
Native6_we1,-241.57738,145.87244,30.043762,56.768974,27.997248,-16.365074,6.751358,6.0038724,7.912987,-21.998098,-2.3701835,11.593913,-20.43721,6,6
Native6_we2,-250.07446,145.88586,31.349838,60.991787,25.67318,-9.848475,-4.8222337,15.963077,2.768214,-18.914793,-1.8596897,10.582108,-15.414566,6,6
Native6_they1,-189.07884,150.20845,8.279856,52.025253,21.60813,5.6736145,-31.824398,-5.173927,17.25044,-30.872374,-8.039624,17.16437,-25.720943,7,6
Native6_they2,-200.87198,149.69507,1.7238623,54.86369,23.665455,0.5180733,-28.71228,-2.2215476,12.244065,-24.51927,-12.143393,19.578157,-22.34634,7,6
Native2_I1,-151.8776,147.75748,-29.753477,26.46009,9.403116,-7.253879,-5.626622,-6.539412,7.7343044,1.5515516,-5.375037,5.937242,-15.440668,1,2
Native2_you1,-203.83963,146.72643,37.346786,17.620163,24.45004,-12.205671,4.6339626,-11.02563,-0.9380875,-8.850666,-2.8042018,0.91241586,-5.318862,2,2
Native2_he1,-205.5575,127.475876,48.019016,38.916233,17.016176,-33.175343,12.735362,7.753993,-13.149448,-7.966526,-2.3168573,5.530909,-18.60812,3,2
Native2_she1,-150.61691,101.84046,35.08511,45.06135,-4.3091035,-11.962938,9.785245,2.5299022,-7.628797,-9.926918,-5.332589,9.11883,-12.738547,4,2
Native2_it1,-192.48941,125.84236,24.406767,21.13054,10.545833,-7.7603855,-15.345798,0.16280599,6.9081864,-6.2620997,-1.913237,3.2668474,0.47664097,5,2
Native2_we1,-200.29729,131.1038,44.98995,28.810991,16.850395,-21.898996,5.255437,6.886376,-14.551168,-8.584862,-1.4145832,-2.2616777,-8.205124,6,2
Native2_they1,-185.43689,141.5455,21.468832,21.312088,28.305805,-33.974346,-17.611048,-0.11613958,-2.4906354,-12.728053,-3.4059758,10.149611,-5.7848754,7,2
Native6_I1,-169.51591,164.63332,-1.8363281,24.07104,-30.779171,-13.191275,-0.6776579,-4.3742156,17.589594,-30.499254,24.694572,11.738696,-10.666315,1,6
Native6_you1,-271.3893,162.17873,32.58073,39.38473,29.544718,2.2205436,1.7363826,7.418966,-0.16487148,-16.521025,-4.058397,-1.3836447,-14.205504,2,6
Native6_he1,-193.59558,107.075455,25.787607,85.79015,27.849466,-20.596796,-6.799322,22.850279,3.7377436,-36.555714,-1.5851775,14.977424,-36.386066,3,6
Native6_she1,-226.47476,105.244576,10.215061,69.118546,20.841345,-13.745459,-6.0044947,22.728928,-1.1207845,-19.31983,-1.9749144,10.345545,-21.236753,4,6
Native6_it1,-198.20792,121.24776,-3.8818438,60.13546,15.709205,2.0876775,-16.960928,-7.9219313,15.516217,-17.731321,-0.9994159,5.4510207,-19.040745,5,6
Native6_we1,-253.2202,154.1613,21.530785,49.24025,25.839703,-5.247656,1.3518082,13.71147,8.49564,-20.050312,-1.8574932,15.015201,-22.647938,6,6
Native6_they1,-212.5964,154.13728,12.713412,51.15046,14.561752,6.4193153,-22.685833,-2.3060882,16.952457,-20.617365,-9.088572,16.394041,-18.846397,7,6
